"list","year","month","year_month","n_posts"
"ess-help",2024,"August","2024-August",9
"ess-help",2024,"September","2024-September",3
"ess-help",2024,"October","2024-October",6
"ess-help",2024,"November","2024-November",4
"ess-help",2024,"December","2024-December",2
"ess-help",2025,"January","2025-January",22
"ess-help",2025,"February","2025-February",33
"ess-help",2025,"March","2025-March",10
"ess-help",2025,"May","2025-May",4
"ess-help",2025,"June","2025-June",5
"ess-help",2025,"July","2025-July",6
"ess-help",2025,"September","2025-September",20
"ess-help",2025,"November","2025-November",2
"ess-help",2025,"December","2025-December",1
"ess-help",2026,"January","2026-January",4
"ess-help",2026,"February","2026-February",6
"ess-help",2026,"March","2026-March",1
"mm-test",2024,"September","2024-September",6
"r-announce",2023,"June","2023-June",1
"r-announce",2023,"July","2023-July",1
"r-announce",2023,"October","2023-October",2
"r-announce",2024,"February","2024-February",2
"r-announce",2024,"March","2024-March",1
"r-announce",2024,"April","2024-April",2
"r-announce",2024,"May","2024-May",1
"r-announce",2024,"June","2024-June",1
"r-announce",2024,"October","2024-October",2
"r-announce",2025,"February","2025-February",2
"r-announce",2025,"March","2025-March",1
"r-announce",2025,"April","2025-April",2
"r-announce",2025,"May","2025-May",1
"r-announce",2025,"June","2025-June",1
"r-announce",2025,"October","2025-October",3
"r-announce",2026,"February","2026-February",1
"r-announce",2026,"March","2026-March",3
"r-announce",2026,"April","2026-April",2
"r-announce",2026,"May","2026-May",1
"r-announce",2026,"June","2026-June",1
"r-devel",2023,"June","2023-June",79
"r-devel",2023,"July","2023-July",37
"r-devel",2023,"August","2023-August",90
"r-devel",2023,"September","2023-September",67
"r-devel",2023,"October","2023-October",75
"r-devel",2023,"November","2023-November",72
"r-devel",2023,"December","2023-December",40
"r-devel",2024,"January","2024-January",53
"r-devel",2024,"February","2024-February",83
"r-devel",2024,"March","2024-March",69
"r-devel",2024,"April","2024-April",92
"r-devel",2024,"May","2024-May",50
"r-devel",2024,"June","2024-June",78
"r-devel",2024,"July","2024-July",29
"r-devel",2024,"August","2024-August",63
"r-devel",2024,"September","2024-September",38
"r-devel",2024,"October","2024-October",43
"r-devel",2024,"November","2024-November",4
"r-devel",2024,"December","2024-December",36
"r-devel",2025,"January","2025-January",78
"r-devel",2025,"February","2025-February",44
"r-devel",2025,"March","2025-March",77
"r-devel",2025,"April","2025-April",71
"r-devel",2025,"May","2025-May",43
"r-devel",2025,"June","2025-June",44
"r-devel",2025,"July","2025-July",23
"r-devel",2025,"August","2025-August",40
"r-devel",2025,"September","2025-September",22
"r-devel",2025,"October","2025-October",37
"r-devel",2025,"November","2025-November",26
"r-devel",2025,"December","2025-December",75
"r-devel",2026,"January","2026-January",46
"r-devel",2026,"February","2026-February",17
"r-devel",2026,"March","2026-March",75
"r-devel",2026,"April","2026-April",64
"r-devel",2026,"May","2026-May",69
"r-devel",2026,"June","2026-June",1
"r-help",2023,"June","2023-June",151
"r-help",2023,"July","2023-July",161
"r-help",2023,"August","2023-August",220
"r-help",2023,"September","2023-September",216
"r-help",2023,"October","2023-October",229
"r-help",2023,"November","2023-November",168
"r-help",2023,"December","2023-December",121
"r-help",2024,"January","2024-January",86
"r-help",2024,"February","2024-February",158
"r-help",2024,"March","2024-March",133
"r-help",2024,"April","2024-April",142
"r-help",2024,"May","2024-May",121
"r-help",2024,"June","2024-June",180
"r-help",2024,"July","2024-July",144
"r-help",2024,"August","2024-August",160
"r-help",2024,"September","2024-September",168
"r-help",2024,"October","2024-October",106
"r-help",2024,"November","2024-November",82
"r-help",2024,"December","2024-December",175
"r-help",2025,"January","2025-January",117
"r-help",2025,"February","2025-February",67
"r-help",2025,"March","2025-March",129
"r-help",2025,"April","2025-April",134
"r-help",2025,"May","2025-May",111
"r-help",2025,"June","2025-June",102
"r-help",2025,"July","2025-July",37
"r-help",2025,"August","2025-August",76
"r-help",2025,"September","2025-September",82
"r-help",2025,"October","2025-October",73
"r-help",2025,"November","2025-November",57
"r-help",2025,"December","2025-December",74
"r-help",2026,"January","2026-January",20
"r-help",2026,"February","2026-February",46
"r-help",2026,"March","2026-March",64
"r-help",2026,"April","2026-April",23
"r-help",2026,"May","2026-May",52
"r-help",2026,"June","2026-June",28
"r-help-es",2023,"June","2023-June",57
"r-help-es",2023,"July","2023-July",11
"r-help-es",2023,"August","2023-August",16
"r-help-es",2023,"September","2023-September",19
"r-help-es",2023,"October","2023-October",13
"r-help-es",2023,"November","2023-November",6
"r-help-es",2023,"December","2023-December",10
"r-help-es",2024,"January","2024-January",6
"r-help-es",2024,"February","2024-February",3
"r-help-es",2024,"April","2024-April",2
"r-help-es",2024,"June","2024-June",14
"r-help-es",2024,"July","2024-July",5
"r-help-es",2024,"August","2024-August",15
"r-help-es",2024,"September","2024-September",5
"r-help-es",2024,"October","2024-October",15
"r-help-es",2024,"November","2024-November",23
"r-help-es",2024,"December","2024-December",4
"r-help-es",2025,"January","2025-January",10
"r-help-es",2025,"February","2025-February",4
"r-help-es",2025,"March","2025-March",23
"r-help-es",2025,"April","2025-April",3
"r-help-es",2025,"May","2025-May",10
"r-help-es",2025,"June","2025-June",2
"r-help-es",2025,"July","2025-July",16
"r-help-es",2025,"August","2025-August",2
"r-help-es",2025,"September","2025-September",9
"r-help-es",2025,"October","2025-October",8
"r-help-es",2025,"November","2025-November",4
"r-help-es",2025,"December","2025-December",5
"r-help-es",2026,"January","2026-January",16
"r-help-es",2026,"February","2026-February",9
"r-help-es",2026,"March","2026-March",3
"r-help-es",2026,"April","2026-April",9
"r-help-es",2026,"May","2026-May",2
"r-help-es",2026,"June","2026-June",1
"r-package-devel",2023,"June","2023-June",73
"r-package-devel",2023,"July","2023-July",101
"r-package-devel",2023,"August","2023-August",135
"r-package-devel",2023,"September","2023-September",111
"r-package-devel",2023,"October","2023-October",162
"r-package-devel",2023,"November","2023-November",155
"r-package-devel",2023,"December","2023-December",106
"r-package-devel",2024,"January","2024-January",174
"r-package-devel",2024,"February","2024-February",81
"r-package-devel",2024,"March","2024-March",117
"r-package-devel",2024,"April","2024-April",59
"r-package-devel",2024,"May","2024-May",167
"r-package-devel",2024,"June","2024-June",82
"r-package-devel",2024,"July","2024-July",84
"r-package-devel",2024,"August","2024-August",52
"r-package-devel",2024,"September","2024-September",52
"r-package-devel",2024,"October","2024-October",42
"r-package-devel",2024,"November","2024-November",96
"r-package-devel",2024,"December","2024-December",81
"r-package-devel",2025,"January","2025-January",103
"r-package-devel",2025,"February","2025-February",82
"r-package-devel",2025,"March","2025-March",49
"r-package-devel",2025,"April","2025-April",64
"r-package-devel",2025,"May","2025-May",83
"r-package-devel",2025,"June","2025-June",66
"r-package-devel",2025,"July","2025-July",74
"r-package-devel",2025,"August","2025-August",67
"r-package-devel",2025,"September","2025-September",96
"r-package-devel",2025,"October","2025-October",53
"r-package-devel",2025,"November","2025-November",31
"r-package-devel",2025,"December","2025-December",73
"r-package-devel",2026,"January","2026-January",63
"r-package-devel",2026,"February","2026-February",51
"r-package-devel",2026,"March","2026-March",49
"r-package-devel",2026,"April","2026-April",34
"r-package-devel",2026,"May","2026-May",21
"r-package-devel",2026,"June","2026-June",13
"r-packages",2023,"June","2023-June",1
"r-packages",2023,"July","2023-July",1
"r-packages",2023,"October","2023-October",2
"r-packages",2023,"November","2023-November",2
"r-packages",2023,"December","2023-December",3
"r-packages",2024,"January","2024-January",2
"r-packages",2024,"March","2024-March",2
"r-packages",2024,"May","2024-May",1
"r-packages",2024,"June","2024-June",1
"r-packages",2024,"September","2024-September",3
"r-packages",2024,"October","2024-October",2
"r-packages",2025,"January","2025-January",1
"r-packages",2025,"February","2025-February",1
"r-packages",2025,"November","2025-November",1
"r-packages",2026,"January","2026-January",1
"r-packages",2026,"March","2026-March",1
"r-packages",2026,"May","2026-May",3
"r-packages",2026,"June","2026-June",1
"r-sig-dcm",2024,"September","2024-September",1
"r-sig-debian",2023,"June","2023-June",20
"r-sig-debian",2023,"August","2023-August",23
"r-sig-debian",2023,"September","2023-September",3
"r-sig-debian",2023,"October","2023-October",3
"r-sig-debian",2023,"November","2023-November",5
"r-sig-debian",2023,"December","2023-December",11
"r-sig-debian",2024,"January","2024-January",23
"r-sig-debian",2024,"February","2024-February",3
"r-sig-debian",2024,"March","2024-March",5
"r-sig-debian",2024,"May","2024-May",7
"r-sig-debian",2024,"June","2024-June",2
"r-sig-debian",2024,"July","2024-July",18
"r-sig-debian",2024,"August","2024-August",1
"r-sig-debian",2024,"October","2024-October",7
"r-sig-debian",2024,"December","2024-December",4
"r-sig-debian",2025,"January","2025-January",3
"r-sig-debian",2025,"March","2025-March",4
"r-sig-debian",2025,"May","2025-May",24
"r-sig-debian",2025,"June","2025-June",20
"r-sig-debian",2025,"November","2025-November",7
"r-sig-debian",2025,"December","2025-December",2
"r-sig-debian",2026,"May","2026-May",7
"r-sig-dynamic-models",2023,"June","2023-June",1
"r-sig-dynamic-models",2023,"October","2023-October",1
"r-sig-dynamic-models",2023,"December","2023-December",4
"r-sig-dynamic-models",2024,"February","2024-February",1
"r-sig-dynamic-models",2024,"May","2024-May",1
"r-sig-dynamic-models",2024,"June","2024-June",3
"r-sig-dynamic-models",2024,"August","2024-August",2
"r-sig-dynamic-models",2026,"January","2026-January",2
"r-sig-dynamic-models",2026,"February","2026-February",1
"r-sig-dynamic-models",2026,"March","2026-March",1
"r-sig-ecology",2023,"June","2023-June",9
"r-sig-ecology",2023,"July","2023-July",9
"r-sig-ecology",2023,"August","2023-August",19
"r-sig-ecology",2023,"September","2023-September",19
"r-sig-ecology",2023,"October","2023-October",14
"r-sig-ecology",2023,"November","2023-November",17
"r-sig-ecology",2023,"December","2023-December",13
"r-sig-ecology",2024,"January","2024-January",23
"r-sig-ecology",2024,"February","2024-February",12
"r-sig-ecology",2024,"March","2024-March",22
"r-sig-ecology",2024,"April","2024-April",20
"r-sig-ecology",2024,"May","2024-May",26
"r-sig-ecology",2024,"June","2024-June",15
"r-sig-ecology",2024,"July","2024-July",20
"r-sig-ecology",2024,"August","2024-August",21
"r-sig-ecology",2024,"September","2024-September",19
"r-sig-ecology",2024,"October","2024-October",42
"r-sig-ecology",2024,"November","2024-November",24
"r-sig-ecology",2024,"December","2024-December",24
"r-sig-ecology",2025,"January","2025-January",39
"r-sig-ecology",2025,"February","2025-February",32
"r-sig-ecology",2025,"March","2025-March",37
"r-sig-ecology",2025,"April","2025-April",47
"r-sig-ecology",2025,"May","2025-May",35
"r-sig-ecology",2025,"June","2025-June",29
"r-sig-ecology",2025,"July","2025-July",27
"r-sig-ecology",2025,"August","2025-August",28
"r-sig-ecology",2025,"September","2025-September",28
"r-sig-ecology",2025,"October","2025-October",29
"r-sig-ecology",2025,"November","2025-November",28
"r-sig-ecology",2025,"December","2025-December",27
"r-sig-ecology",2026,"January","2026-January",31
"r-sig-ecology",2026,"February","2026-February",43
"r-sig-ecology",2026,"March","2026-March",43
"r-sig-ecology",2026,"April","2026-April",28
"r-sig-ecology",2026,"May","2026-May",28
"r-sig-ecology",2026,"June","2026-June",7
"r-sig-epi",2023,"July","2023-July",1
"r-sig-epi",2023,"August","2023-August",1
"r-sig-epi",2024,"July","2024-July",1
"r-sig-epi",2024,"August","2024-August",7
"r-sig-epi",2024,"September","2024-September",4
"r-sig-epi",2024,"October","2024-October",5
"r-sig-epi",2024,"November","2024-November",2
"r-sig-epi",2024,"December","2024-December",5
"r-sig-epi",2025,"January","2025-January",15
"r-sig-epi",2025,"February","2025-February",5
"r-sig-epi",2025,"March","2025-March",6
"r-sig-epi",2025,"April","2025-April",12
"r-sig-epi",2025,"May","2025-May",12
"r-sig-epi",2025,"June","2025-June",13
"r-sig-epi",2025,"July","2025-July",20
"r-sig-epi",2025,"August","2025-August",18
"r-sig-epi",2025,"September","2025-September",13
"r-sig-epi",2025,"October","2025-October",13
"r-sig-epi",2025,"November","2025-November",10
"r-sig-epi",2025,"December","2025-December",8
"r-sig-epi",2026,"January","2026-January",11
"r-sig-epi",2026,"February","2026-February",18
"r-sig-epi",2026,"March","2026-March",20
"r-sig-epi",2026,"April","2026-April",17
"r-sig-epi",2026,"May","2026-May",19
"r-sig-epi",2026,"June","2026-June",4
"r-sig-fedora",2023,"June","2023-June",16
"r-sig-fedora",2023,"July","2023-July",1
"r-sig-fedora",2024,"February","2024-February",3
"r-sig-fedora",2024,"March","2024-March",11
"r-sig-fedora",2024,"July","2024-July",7
"r-sig-fedora",2024,"August","2024-August",3
"r-sig-fedora",2024,"September","2024-September",3
"r-sig-fedora",2024,"November","2024-November",10
"r-sig-fedora",2025,"April","2025-April",13
"r-sig-fedora",2025,"June","2025-June",2
"r-sig-fedora",2025,"August","2025-August",2
"r-sig-fedora",2025,"September","2025-September",4
"r-sig-fedora",2026,"April","2026-April",12
"r-sig-finance",2023,"June","2023-June",2
"r-sig-finance",2023,"July","2023-July",7
"r-sig-finance",2023,"August","2023-August",4
"r-sig-finance",2023,"September","2023-September",2
"r-sig-finance",2023,"October","2023-October",11
"r-sig-finance",2023,"December","2023-December",1
"r-sig-finance",2024,"May","2024-May",1
"r-sig-finance",2024,"August","2024-August",5
"r-sig-finance",2024,"September","2024-September",16
"r-sig-finance",2024,"October","2024-October",3
"r-sig-finance",2024,"November","2024-November",8
"r-sig-finance",2024,"December","2024-December",4
"r-sig-finance",2025,"January","2025-January",3
"r-sig-finance",2025,"March","2025-March",13
"r-sig-finance",2025,"April","2025-April",24
"r-sig-finance",2025,"July","2025-July",2
"r-sig-finance",2025,"September","2025-September",1
"r-sig-finance",2025,"November","2025-November",6
"r-sig-finance",2025,"December","2025-December",15
"r-sig-finance",2026,"January","2026-January",12
"r-sig-finance",2026,"February","2026-February",14
"r-sig-finance",2026,"March","2026-March",2
"r-sig-finance",2026,"April","2026-April",28
"r-sig-finance",2026,"May","2026-May",1
"r-sig-genetics",2023,"July","2023-July",1
"r-sig-genetics",2023,"August","2023-August",3
"r-sig-genetics",2023,"September","2023-September",2
"r-sig-genetics",2023,"October","2023-October",1
"r-sig-genetics",2023,"November","2023-November",4
"r-sig-genetics",2023,"December","2023-December",3
"r-sig-genetics",2024,"January","2024-January",5
"r-sig-genetics",2024,"February","2024-February",2
"r-sig-genetics",2024,"March","2024-March",4
"r-sig-genetics",2024,"April","2024-April",2
"r-sig-genetics",2024,"May","2024-May",2
"r-sig-genetics",2024,"June","2024-June",5
"r-sig-genetics",2024,"July","2024-July",1
"r-sig-genetics",2024,"August","2024-August",6
"r-sig-genetics",2024,"September","2024-September",5
"r-sig-genetics",2024,"October","2024-October",11
"r-sig-genetics",2024,"November","2024-November",9
"r-sig-genetics",2024,"December","2024-December",8
"r-sig-genetics",2025,"January","2025-January",14
"r-sig-genetics",2025,"February","2025-February",12
"r-sig-genetics",2025,"March","2025-March",14
"r-sig-genetics",2025,"April","2025-April",10
"r-sig-genetics",2025,"May","2025-May",17
"r-sig-genetics",2025,"June","2025-June",12
"r-sig-genetics",2025,"July","2025-July",10
"r-sig-genetics",2025,"August","2025-August",12
"r-sig-genetics",2025,"September","2025-September",11
"r-sig-genetics",2025,"October","2025-October",8
"r-sig-genetics",2025,"November","2025-November",7
"r-sig-genetics",2025,"December","2025-December",5
"r-sig-genetics",2026,"January","2026-January",9
"r-sig-genetics",2026,"February","2026-February",15
"r-sig-genetics",2026,"March","2026-March",18
"r-sig-genetics",2026,"April","2026-April",17
"r-sig-genetics",2026,"May","2026-May",21
"r-sig-genetics",2026,"June","2026-June",4
"r-sig-geo",2023,"June","2023-June",26
"r-sig-geo",2023,"July","2023-July",3
"r-sig-geo",2023,"August","2023-August",27
"r-sig-geo",2023,"September","2023-September",5
"r-sig-geo",2023,"October","2023-October",10
"r-sig-geo",2023,"November","2023-November",11
"r-sig-geo",2023,"December","2023-December",10
"r-sig-geo",2024,"January","2024-January",8
"r-sig-geo",2024,"February","2024-February",21
"r-sig-geo",2024,"March","2024-March",1
"r-sig-geo",2024,"April","2024-April",19
"r-sig-geo",2024,"May","2024-May",16
"r-sig-geo",2024,"June","2024-June",9
"r-sig-geo",2024,"July","2024-July",4
"r-sig-geo",2024,"August","2024-August",15
"r-sig-geo",2024,"September","2024-September",27
"r-sig-geo",2024,"October","2024-October",5
"r-sig-geo",2024,"November","2024-November",4
"r-sig-geo",2024,"December","2024-December",7
"r-sig-geo",2025,"January","2025-January",9
"r-sig-geo",2025,"February","2025-February",12
"r-sig-geo",2025,"March","2025-March",4
"r-sig-geo",2025,"April","2025-April",6
"r-sig-geo",2025,"May","2025-May",9
"r-sig-geo",2025,"June","2025-June",3
"r-sig-geo",2025,"July","2025-July",7
"r-sig-geo",2025,"August","2025-August",14
"r-sig-geo",2025,"September","2025-September",1
"r-sig-geo",2025,"October","2025-October",1
"r-sig-geo",2025,"November","2025-November",4
"r-sig-geo",2025,"December","2025-December",15
"r-sig-geo",2026,"January","2026-January",4
"r-sig-geo",2026,"February","2026-February",2
"r-sig-geo",2026,"March","2026-March",2
"r-sig-geo",2026,"April","2026-April",2
"r-sig-geo",2026,"May","2026-May",2
"r-sig-geo",2026,"June","2026-June",2
"r-sig-gr",2024,"August","2024-August",2
"r-sig-gr",2024,"September","2024-September",1
"r-sig-gr",2025,"September","2025-September",1
"r-sig-gr",2025,"November","2025-November",1
"r-sig-hpc",2023,"December","2023-December",4
"r-sig-hpc",2024,"December","2024-December",4
"r-sig-jobs",2023,"September","2023-September",3
"r-sig-jobs",2023,"October","2023-October",1
"r-sig-jobs",2024,"February","2024-February",1
"r-sig-jobs",2026,"March","2026-March",1
"r-sig-mac",2023,"June","2023-June",30
"r-sig-mac",2023,"July","2023-July",30
"r-sig-mac",2023,"August","2023-August",11
"r-sig-mac",2023,"September","2023-September",11
"r-sig-mac",2023,"October","2023-October",36
"r-sig-mac",2023,"November","2023-November",6
"r-sig-mac",2023,"December","2023-December",7
"r-sig-mac",2024,"January","2024-January",9
"r-sig-mac",2024,"February","2024-February",35
"r-sig-mac",2024,"March","2024-March",4
"r-sig-mac",2024,"April","2024-April",8
"r-sig-mac",2024,"May","2024-May",20
"r-sig-mac",2024,"June","2024-June",29
"r-sig-mac",2024,"July","2024-July",12
"r-sig-mac",2024,"August","2024-August",4
"r-sig-mac",2024,"September","2024-September",19
"r-sig-mac",2024,"October","2024-October",7
"r-sig-mac",2024,"November","2024-November",34
"r-sig-mac",2024,"December","2024-December",12
"r-sig-mac",2025,"January","2025-January",9
"r-sig-mac",2025,"February","2025-February",10
"r-sig-mac",2025,"March","2025-March",25
"r-sig-mac",2025,"April","2025-April",41
"r-sig-mac",2025,"May","2025-May",25
"r-sig-mac",2025,"June","2025-June",10
"r-sig-mac",2025,"July","2025-July",28
"r-sig-mac",2025,"August","2025-August",9
"r-sig-mac",2025,"September","2025-September",4
"r-sig-mac",2025,"October","2025-October",6
"r-sig-mac",2025,"November","2025-November",10
"r-sig-mac",2025,"December","2025-December",32
"r-sig-mac",2026,"January","2026-January",21
"r-sig-mac",2026,"February","2026-February",17
"r-sig-mac",2026,"March","2026-March",11
"r-sig-mac",2026,"April","2026-April",14
"r-sig-mac",2026,"May","2026-May",1
"r-sig-meta-analysis",2023,"June","2023-June",114
"r-sig-meta-analysis",2023,"July","2023-July",80
"r-sig-meta-analysis",2023,"August","2023-August",24
"r-sig-meta-analysis",2023,"September","2023-September",35
"r-sig-meta-analysis",2023,"October","2023-October",36
"r-sig-meta-analysis",2023,"November","2023-November",46
"r-sig-meta-analysis",2023,"December","2023-December",56
"r-sig-meta-analysis",2024,"January","2024-January",17
"r-sig-meta-analysis",2024,"February","2024-February",20
"r-sig-meta-analysis",2024,"March","2024-March",88
"r-sig-meta-analysis",2024,"April","2024-April",70
"r-sig-meta-analysis",2024,"May","2024-May",51
"r-sig-meta-analysis",2024,"June","2024-June",33
"r-sig-meta-analysis",2024,"July","2024-July",42
"r-sig-meta-analysis",2024,"August","2024-August",32
"r-sig-meta-analysis",2024,"September","2024-September",41
"r-sig-meta-analysis",2024,"October","2024-October",26
"r-sig-meta-analysis",2024,"November","2024-November",43
"r-sig-meta-analysis",2024,"December","2024-December",20
"r-sig-meta-analysis",2025,"January","2025-January",11
"r-sig-meta-analysis",2025,"February","2025-February",9
"r-sig-meta-analysis",2025,"March","2025-March",17
"r-sig-meta-analysis",2025,"April","2025-April",14
"r-sig-meta-analysis",2025,"May","2025-May",19
"r-sig-meta-analysis",2025,"June","2025-June",3
"r-sig-meta-analysis",2025,"July","2025-July",3
"r-sig-meta-analysis",2025,"October","2025-October",5
"r-sig-meta-analysis",2025,"November","2025-November",8
"r-sig-meta-analysis",2025,"December","2025-December",3
"r-sig-meta-analysis",2026,"January","2026-January",3
"r-sig-meta-analysis",2026,"February","2026-February",2
"r-sig-meta-analysis",2026,"March","2026-March",10
"r-sig-meta-analysis",2026,"April","2026-April",1
"r-sig-meta-analysis",2026,"May","2026-May",4
"r-sig-mixed-models",2023,"June","2023-June",39
"r-sig-mixed-models",2023,"July","2023-July",15
"r-sig-mixed-models",2023,"August","2023-August",26
"r-sig-mixed-models",2023,"September","2023-September",38
"r-sig-mixed-models",2023,"October","2023-October",5
"r-sig-mixed-models",2023,"November","2023-November",16
"r-sig-mixed-models",2023,"December","2023-December",12
"r-sig-mixed-models",2024,"January","2024-January",20
"r-sig-mixed-models",2024,"February","2024-February",22
"r-sig-mixed-models",2024,"March","2024-March",5
"r-sig-mixed-models",2024,"April","2024-April",6
"r-sig-mixed-models",2024,"May","2024-May",14
"r-sig-mixed-models",2024,"June","2024-June",22
"r-sig-mixed-models",2024,"July","2024-July",29
"r-sig-mixed-models",2024,"August","2024-August",4
"r-sig-mixed-models",2024,"September","2024-September",7
"r-sig-mixed-models",2024,"October","2024-October",40
"r-sig-mixed-models",2024,"November","2024-November",6
"r-sig-mixed-models",2024,"December","2024-December",10
"r-sig-mixed-models",2025,"January","2025-January",14
"r-sig-mixed-models",2025,"February","2025-February",14
"r-sig-mixed-models",2025,"March","2025-March",10
"r-sig-mixed-models",2025,"April","2025-April",7
"r-sig-mixed-models",2025,"May","2025-May",2
"r-sig-mixed-models",2025,"June","2025-June",4
"r-sig-mixed-models",2025,"July","2025-July",6
"r-sig-mixed-models",2025,"August","2025-August",2
"r-sig-mixed-models",2025,"September","2025-September",23
"r-sig-mixed-models",2025,"October","2025-October",4
"r-sig-mixed-models",2025,"November","2025-November",7
"r-sig-mixed-models",2025,"December","2025-December",8
"r-sig-mixed-models",2026,"January","2026-January",6
"r-sig-mixed-models",2026,"February","2026-February",4
"r-sig-mixed-models",2026,"March","2026-March",6
"r-sig-mixed-models",2026,"April","2026-April",10
"r-sig-mixed-models",2026,"May","2026-May",5
"r-sig-robust",2024,"May","2024-May",2
"r-sig-robust",2024,"August","2024-August",1
"r-sig-robust",2024,"September","2024-September",2
"r-sig-robust",2025,"July","2025-July",4
"r-sig-robust",2025,"October","2025-October",1
"r-sig-robust",2025,"November","2025-November",1
"r-sig-robust",2025,"December","2025-December",1
"r-sig-robust",2026,"April","2026-April",1
"r-sig-teaching",2023,"September","2023-September",1
"r-sig-teaching",2024,"August","2024-August",3
"r-sig-teaching",2024,"October","2024-October",6
"r-sig-teaching",2025,"June","2025-June",1
"r-sig-teaching",2025,"November","2025-November",1
"r-sig-teaching",2025,"December","2025-December",3
"r-sig-teaching",2026,"January","2026-January",3
"r-sig-windows",2023,"June","2023-June",2
"r-sig-windows",2023,"October","2023-October",1
"r-sig-windows",2024,"January","2024-January",1
"r-sig-windows",2024,"March","2024-March",13
"r-sig-windows",2024,"October","2024-October",1
"r-sig-windows",2025,"January","2025-January",2
"r-sig-windows",2025,"February","2025-February",2
"r-sig-windows",2025,"March","2025-March",12
"r-sig-windows",2025,"June","2025-June",1
"r-sig-windows",2025,"October","2025-October",1
"r-sig-windows",2026,"January","2026-January",1
"r-sig-windows",2026,"February","2026-February",1
"r-sig-windows",2026,"March","2026-March",1
"r-sig-windows",2026,"April","2026-April",2
"r-sig-windows",2026,"May","2026-May",1
